Seccion,Prioridad,ID,Condicion / caso,Tipo cliente,Provincia,Volumen (cajas/mes),Que dice / hace el lead,Mensaje IA (humano),Tools / sistema,Estado Pipeline,Outcome / cierre,Notas
ORDEN_EVALUACION,0,P0,Orden del motor decide_route (fuente de verdad),—,—,—,—,—,routing.ts + coolmeals-bot-actions,—,—,"1) representante/fasón → 2) volumen ≥50 cualquier provincia → 3) <50 (incl. Córdoba) → dist o sin_cobertura si no hay gestión"
ORDEN_EVALUACION,1,P1,Pedido explícito de persona / no sé responder / 2ª insistencia precio,—,cualquiera,—,Quiere hablar con humano / dato que no sabemos,Cierre: asesor te contacta por otro canal + despedida,handoff_human (status según caso; default atencion_representante) + handoff_to_human,atencion_representante (u otro ya definido),handoff_humano,"Gana sobre calificación incompleta. PROHIBIDO clientType=representante solo por pedir una persona."
ORDEN_EVALUACION,1,P1b,Intención clara SER representante o fasón,representante|fason,cualquiera,cualquier (ignorar),Quiero ser rep / maquila / marca propia,Cierre comercial + despedida,upsert → decide_route → handoff_human + handoff_to_human,quiere_ser_representante | quiere_ser_fason,quiere_ser_*,"Gana sobre ≥50: NUNCA menú muestras/pedido aunque digan 60 cajas."
ORDEN_EVALUACION,2,P2,Apertura + Beacons,—,cualquiera,—,Primer mensaje útil,Saludo + https://beacons.ai/froodie + tipo negocio / interés,upsert_conversation status=ia_atendiendo,ia_atendiendo,—,"Beacons SIN precios. No narrar CRM."
ORDEN_EVALUACION,2,P2b,Catálogo / sabores / menú producto,—,cualquiera,—,Qué venden / sabores / SKUs,Reenviar Beacons (info productos; NUNCA con precios) + seguir calificando,—,sin cambio,—,Reenviar en cualquier etapa
ORDEN_EVALUACION,2,P2c,Precios / cotización,—,cualquiera,—,Cuánto cuesta / lista / mínimos / condiciones,No inventar; NO decir que precios están en Beacons; 1ª vez insistir aproximado (umbral a partir de 50); 2ª sin número → handoff,2ª: handoff_human + handoff_to_human,atencion_representante si 2ª,—,"Alineado a P5b. Beacons no tiene precios."
ORDEN_EVALUACION,3,P3,Calificación tipo + zona (+ volumen si aplica),según tipificación,pedir,pedir si retail/mayorista/dist 4SÍ/compra x cantidad,Responde datos,Preguntas concretas; aviso umbral 50 al pedir volumen,upsert_conversation,ia_atendiendo,—,"Si CUALQUIER dato/camino no está claro: 1 pregunta de desambiguación (2 opciones) ANTES de decidir. Dist. compra vs ser marca; retail vs mayorista. Minorista gastronómico: NO bloquear por volumen. 1 bulto=1 caja."
ORDEN_EVALUACION,3,P3b,Desambiguación dist. (si poco claro),—,—,—,"tengo una distribuidora" / soy dist. sin compra ni ser marca,"¿Comprar/revender o sumarte como dist. oficial de la marca?",enter_waiting,ia_atendiendo,—,"Compra→mayorista. Ser marca→4 preguntas. PROHIBIDO inventar camino."
ORDEN_EVALUACION,4,P4,Volumen ≥50 (prioridad volumen),casi cualquiera,CUALQUIERA,≥50,Da volumen alto,Si aún no eligió: menú 1) muestras 2) pedido. Si YA quiere pedir → Pedidos directo,decide_route → own_attention coolMealsMenu=true,pedido_lead|pedido_cliente|muestras|atencion_representante,pedido|muestras|handoff_humano,"Gana sobre zona. Excepción: rep/fasón. Pedido NO Sheet."
ORDEN_EVALUACION,4,P5,<50 o sin volumen (cualquier provincia incl. Córdoba),minorista|retail|mayorista|dist|otro,cualquiera,<50 o null,Zona con o sin cobertura,Si hay dist: nombrar + sync_derived; si no: sin_cobertura,decide_route → derive o no_coverage,derivado_distribuidor|sin_cobertura,derivado|sin_cobertura,"Incluye Córdoba. Sin gestión en zona → sin_cobertura. ≥50 sigue Cool Meals."
ORDEN_EVALUACION,4,P5b,Volumen incerto / quiere precios,retail|mayorista|dist,cualquiera,incierto,No sabe cuánto / precios / mínimos / condiciones,"1ª: pregunta NORMAL volumen (aviso a partir de 50). Si dice no sé → 2ª: asistente comercial de tu zona + ¿a partir de 50 o menos?. Si tampoco orienta → handoff",1ª/2ª enter_waiting; con ≥50/<50 decide_route; sin orientar handoff,atencion_representante o según vol,handoff_humano o ruta,"El 'más/menos de 50' SOLO es 2ª insistencia tras el no sé. PROHIBIDO inventar bultos."
ORDEN_EVALUACION,4,P6,<50 o sin vol + hay dist (cualquier provincia),minorista|retail|mayorista|dist|otro,cualquiera,<50 o null,Zona con cobertura,Nombrar dist + despedida (antes: nombre/tel/negocio),decide_route → mensaje → sync_derived → handoff_to_human,derivado_distribuidor,derivado_distribuidor,"ORDEN: mensaje ANTES de sync_derived. Incluye Córdoba. Si pidió muestras con <50: NO request_samples."
ORDEN_EVALUACION,4,P7,<50 + sin dist (cualquier provincia),mismo,cualquiera,<50 o null,Zona sin cobertura / sin gestión,Aún no llegamos; te avisamos,handoff_human status=sin_cobertura + handoff_to_human,sin_cobertura,sin_cobertura,Auto ~5d → oculto + ended (no Descartado)
ORDEN_EVALUACION,5,P8,Elige muestras (solo menú ≥50),—,cualquiera,≥50,Elige 1 muestras,Pedir datos envío completos + rep hace seguimiento,request_samples → handoff_human status=muestras (IA ended; NO handoff_to_human),muestras,muestras,"Card queda hasta Resultado. Nuevo WA → 2ª card fresca. Datos: Nombre Apellido Tel Empresa Provincia DNI Correo CP Dirección"
ORDEN_EVALUACION,5,P9,Elige pedido / intención clara de pedir,—,cualquiera,≥50 o explícito,Elige 2 / quiero armar pedido / lista / cliente+pedido,Asesor contacta stock/logística + lista opcional,handoff_human pedido_* + handoff_to_human,pedido_lead|pedido_cliente,pedido,"Cliente: skip contacto (WA). Lead: pide en cierre pero igual deriva. Sin Sheet. NO atencion_representante."
ORDEN_EVALUACION,6,P10,Quiere SER distribuidor — 4 preguntas,quiere dist,pedir,pedir tras 4 SÍ,Quiere sumarse a la red / dist. oficial marca,4 preguntas juntas,PROHIBIDO decide_route/handoff hasta completar 4,ia_atendiendo,—,"Si 'tengo dist.' y no está claro: P3b primero. YA tiene dist y quiere COMPRAR = mayorista (sin las 4)."
ORDEN_EVALUACION,6,P10a,4 SÍ distribuidor,distribuidor,pedir,pedir,4 SÍ,Seguir zona/volumen (aviso 50); NO handoff por los 4 SÍ,upsert status=quiere_ser_distribuidor (columna) → luego decide_route,quiere_ser_distribuidor → luego ruta por vol/zona,—,"Columna vía upsert; el cierre lo define decide_route (≥50 menú / <50 dist o sin_cobertura)."
ORDEN_EVALUACION,6,P10b,Falta alguna de las 4,no distribuidor,pedir,—,Algún NO,Tipificar compra comercial; si rechaza → descartado,flujo comercial o handoff_human status=descartado,según caso,—,No poner clientType=distribuidor
ORDEN_EVALUACION,7,P11,Consumidor final / basura,otro/consumidor,—,—,1 wrap / delivery casa / personal,Cierre amable: solo comercios/gastronomía/dist; no venta personal,handoff_human status=descartado (IA ended; NO handoff_to_human),descartado,descartado,"PROHIBIDO seguir chat. Si dice 50+ cajas comerciales NO es basura."
ORDEN_EVALUACION,7,P11b,Proveedor de insumos,otro/proveedor,—,—,Ya es o quiere ser proveedor de Cool Meals,Mensaje: escribir a Compras@coolmeals.com.ar,handoff_human status=descartado (IA ended; NO handoff_to_human),descartado,descartado,"NO menú/pedido/dist. Distinto de cliente que compra producto o quiere ser dist."
ORDEN_EVALUACION,8,P12,Promesa = handoff mismo turno,—,—,—,Dijo que alguien contacta,Solo mensaje humano de cierre,tools de cierre en ESE turno,según acción,—,PROHIBIDO prometer y seguir preguntando
ORDEN_EVALUACION,8,P13,Contacto obligatorio (gate duro),—,cualquiera,—,Cierre comercial (derive/operador/rep/fasón/sin cobertura),Pedir nombre completo + negocio + tel confirmado (aunque figure en WA),handoff_human / sync_derived con fullName company contactPhone phoneConfirmed=true,según cierre,—,"Si se niega: contactRefused=true → operador. No alcanza perfil WA. Excepciones: descartado consumidor; muestras (ficha envío)."
